,compound,neg,neu,pos,source,time,tweet
84,0.0,0.0,1.0,0.0,CNN,2020-05-18 00:31:06+00:00,"""People are starting to realize that we are actually depending on science and that we need to listen to scientists… https://t.co/m0Nqcji3Iv"
85,0.2617,0.0,0.903,0.097,CNN,2020-05-18 00:15:02+00:00,"Coronavirus has slowed the global economy, but deforestation in the Amazon is speeding up. While most of Brazil's m… https://t.co/FrBJYoUMdY"
86,0.0,0.0,1.0,0.0,CNN,2020-05-18 00:01:05+00:00,"Princeton University has named its first black valedictorian in the school's 274-year history — Nicholas Johnson, a… https://t.co/NiFlRwZsWY"
87,0.2263,0.0,0.909,0.091,CNN,2020-05-17 23:45:04+00:00,"Twitter will allow some of its workforce to continue working from home ""forever"" if they choose, the company confir… https://t.co/Dt3ztXo8bN"
88,0.0,0.0,1.0,0.0,CNN,2020-05-17 23:31:07+00:00,"A Georgia man discovered an infestation of approximately 100,000 bees living in the ceiling of his recently purchas… https://t.co/liLvc2WQPP"
89,0.0,0.0,1.0,0.0,CNN,2020-05-17 23:15:02+00:00,Star data from NASA's planet-hunting TESS mission has helped an international team of scientists detect patterns in… https://t.co/NVUANv4SGb
90,0.1655,0.0,0.927,0.073,CNN,2020-05-17 23:01:04+00:00,"Cats can infect other cats with the novel coronavirus, but they may not show any symptoms, according to a new study… https://t.co/g9VoEqifYE"
91,0.0,0.0,1.0,0.0,CNN,2020-05-17 23:01:04+00:00,"A pair of Michael Jordan's game-worn Air Jordan 1 shoes from 1985 sold for $560,000, more than three times the esti… https://t.co/PTMY5SZKXz"
92,0.5574,0.0,0.833,0.167,CNN,2020-05-17 22:54:05+00:00,"A person who later learned they were positive for Covid-19 attended a California religious service on Mother's Day,… https://t.co/26jyUfRl8B"
93,0.4215,0.0,0.797,0.203,CNN,2020-05-17 22:45:05+00:00,The United States Space Force has unveiled its official flag https://t.co/jtlI1lTCmm https://t.co/Y4f87ZvVdH
94,0.0,0.0,1.0,0.0,CNN,2020-05-17 22:31:05+00:00,"Nickelodeon sent their signature ""slime"" to astronauts on the International Space Station to perform experiments an… https://t.co/5yYma5cvIU"
95,0.0,0.0,1.0,0.0,CNN,2020-05-17 22:15:08+00:00,"A pair of Michael Jordan's game-worn Air Jordan 1 shoes from 1985 sell for $560,000 — more than three times the est… https://t.co/3POqzDgAo7"
96,0.0,0.0,1.0,0.0,CNN,2020-05-17 22:00:10+00:00,Restaurant and bar owners say their industry could be wiped out by social distancing rules that will keep dining ro… https://t.co/f0GqKi6mJt
97,0.128,0.0,0.919,0.081,CNN,2020-05-17 21:45:05+00:00,"An aircraft from the Canadian Forces Snowbirds aerobatics team has crashed in British Columbia, defense officials s… https://t.co/ZyfpdY8wFv"
98,0.0,0.0,1.0,0.0,CNN,2020-05-17 21:29:03+00:00,"When this restaurant in Virginia reopens, it will be kept at 50% capacity for social distancing purposes -- and wil… https://t.co/ngNtqVhFNG"
99,-0.6369,0.181,0.819,0.0,CNN,2020-05-17 21:15:07+00:00,Child abuse reports are down while children are largely out of sight during the coronavirus pandemic. Here's why ex… https://t.co/AiJpN8vEbc
100,-0.5267,0.152,0.848,0.0,CBSNews,2020-05-18 17:40:15+00:00,"Attorney General William Barr says he does not ""expect"" Barack Obama or Joe Biden to face criminal investigations f… https://t.co/lKuurbwslN"
101,-0.5574,0.286,0.714,0.0,CBSNews,2020-05-18 17:19:41+00:00,The internal watchdogs Trump has fired or replaced https://t.co/tAwJfKJkfe https://t.co/5uyV2xBMeO
102,0.7579,0.0,0.755,0.245,CBSNews,2020-05-18 17:00:21+00:00,A lot has changed for this Wisconsin church – including the way they honor the everyday heroes who are often overlo… https://t.co/q5iodrqrvB
103,0.3612,0.101,0.725,0.174,CBSNews,2020-05-18 16:39:39+00:00,"A person who tested positive for COVID-19 attended a crowded church service, potentially exposing 180 people… https://t.co/3EaRG0EmpD"
104,0.4404,0.0,0.879,0.121,CBSNews,2020-05-18 16:33:58+00:00,"NY Gov. Cuomo: ""We’re going to make this place better than ever before. Because what we went through is a transform… https://t.co/3uT08n37zQ"
105,-0.34,0.13,0.87,0.0,CBSNews,2020-05-18 16:19:44+00:00,Detroit priest uses squirt gun to spray holy water on parishioners as they socially distance https://t.co/lwut68sNt3 https://t.co/P9b5hulr2X
106,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 16:13:16+00:00,"""None of this is predetermined. This is all a function of what we do today going forward,"" NY Gov. Cuomo says. ""The… https://t.co/cltNouaX6r"
107,-0.128,0.12,0.785,0.094,CBSNews,2020-05-18 15:59:55+00:00,"ICYMI: Top takeaways from this week's ""Face the Nation"": Experts skeptical of White House COVID goals… https://t.co/vhT8UwLlgD"
108,0.3975,0.051,0.829,0.12,CBSNews,2020-05-18 15:57:49+00:00,NY Gov. Cuomo says he encourages major sports teams to plan reopening without fans: “I want to watch the Buffalo Bi… https://t.co/iqQaFF7TBh
109,-0.3818,0.19,0.726,0.085,CBSNews,2020-05-18 15:48:35+00:00,"RT @camiloreports: U.S. Judge Jesus Bernal, who required ICE in April to consider releasing immigrants at increased risk of severe illness…"
110,-0.7184,0.283,0.616,0.101,CBSNews,2020-05-18 15:48:15+00:00,"RT @CBS_Herridge: #Pensacola 12/19 terrorist attack from AG Barr/DOJ: FBI recently succeeded in unlocking the phones of Alshamrani, who had…"
111,-0.5267,0.145,0.855,0.0,CBSNews,2020-05-18 15:45:48+00:00,"Barr says he does not ""expect"" that the ongoing review of the Trump-Russia probe will lead to a criminal investigat… https://t.co/bt3Mz5HTK2"
112,0.7003,0.0,0.775,0.225,CBSNews,2020-05-18 15:43:39+00:00,"WATCH NOW: NY Gov. Cuomo starts his daily coronavirus briefing with ""good news"": ""I’m pleased to report I took a CO… https://t.co/lnofrZbJ5h"
113,-0.4215,0.359,0.435,0.207,CBSNews,2020-05-18 15:39:44+00:00,U.S. cyclist suffers fatal fall near Indian beauty spot https://t.co/mPgqnq2rzj https://t.co/NAFbDxbTc7
114,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 15:32:28+00:00,"Barr calls out tech companies that are ""willing to accommodate authoritarian regimes when it serves their business… https://t.co/dZgLG1pMKV"
115,-0.0772,0.065,0.884,0.051,CBSNews,2020-05-18 15:27:04+00:00,"For many in Philadelphia, testing can be hard to find. Pediatric surgeon Dr. Ala Stanford took matters into her own… https://t.co/17J6sRY4CU"
116,-0.6249,0.17,0.83,0.0,CBSNews,2020-05-18 15:23:39+00:00,"Wray says new evidence shows the Pensacola air base shooting was ""the brutal culmination of years of planning and p… https://t.co/3SbUFxBBi9"
117,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 15:19:55+00:00,"Coronavirus closures hit beer supply, driving tainted alcohol deaths in Mexico https://t.co/X9Hx3cngYK https://t.co/PkF5MdcB6a"
118,0.4019,0.0,0.876,0.124,CBSNews,2020-05-18 15:14:19+00:00,"Barr says FBI technicians managed to unlock the Pensacola air base shooter's phone after Apple declined to help, an… https://t.co/0FltPMKyAX"
119,0.5267,0.0,0.841,0.159,CBSNews,2020-05-18 15:08:48+00:00,WATCH LIVE: FBI and Justice Department plan to announce evidence linking Pensacola air base shooter to al Qaeda… https://t.co/LMo28J5uia
120,-0.4767,0.171,0.829,0.0,CBSNews,2020-05-18 15:00:01+00:00,FBI links al Qaeda to Saudi shooter in deadly attack on Florida air base https://t.co/2FcVox07vs https://t.co/BA4bjMPuKr
121,-0.7351,0.292,0.708,0.0,CBSNews,2020-05-18 14:39:30+00:00,"Martin Shkreli denied prison release to research a coronavirus treatment by judge who calls him ""delusional""… https://t.co/95iv0JVmXP"
122,0.4939,0.0,0.842,0.158,CBSNews,2020-05-18 14:29:33+00:00,"NYC Mayor de Blasio says antibody testing begins today for 140,000 first responders and health care workers… https://t.co/BZJeCvwBm7"
123,-0.886,0.38,0.62,0.0,CBSNews,2020-05-18 14:19:49+00:00,"Understaffing at nursing homes may be making coronavirus crisis worse: ""It makes me mad and it makes me scared""… https://t.co/1zdsfeKbhc"
124,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 14:00:02+00:00,Coronavirus flare-ups force France to re-close some schools https://t.co/8iLToNzCNG https://t.co/1EazwrAtEP
125,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 13:51:23+00:00,WATCH NOW: New York City Mayor Bill de Blasio gives an update on the coronavirus outbreak https://t.co/BOt0viiqTX https://t.co/Xm5g9D6s0F
126,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 13:40:13+00:00,This restaurant in Maryland intends to use bumper tables to keep customers six feet apart once it begins to take se… https://t.co/Oar2RVDLsA
127,-0.6486,0.235,0.765,0.0,CBSNews,2020-05-18 13:19:55+00:00,Journalist and his police bodyguard shot dead while leaving a restaurant in Mexico https://t.co/NOVp91pXCe https://t.co/dq9YsY05ZE
128,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 13:00:18+00:00,This 7-year-old girl was saving her money for an American Girl doll – but she selflessly decided to donate her enti… https://t.co/kBfYelnkvQ
129,-0.2732,0.13,0.87,0.0,CBSNews,2020-05-18 12:45:00+00:00,Minnesota suing bar owner who plans to defy stay-at-home order and reopen early https://t.co/HehERl1EHf https://t.co/V15yFCtD4i
130,0.3612,0.0,0.828,0.172,CBSNews,2020-05-18 12:29:58+00:00,"Former ""Bachelorette"" Hannah Brown apologizes after singing N-word on Instagram Live https://t.co/xJ6qtj3WpD https://t.co/iDzuGFELz1"
131,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 12:15:01+00:00,Tropical Storm Arthur to bring life-threatening surf and rip currents to East Coast https://t.co/wqHygXHunH https://t.co/UwUyznzvVC
132,-0.5106,0.157,0.786,0.057,CBSNews,2020-05-18 12:00:33+00:00,RT @CBSThisMorning: Democrats say they want to know why President Trump fired another of his administration's internal watchdogs. State Dep…
133,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 11:44:39+00:00,Rare blue bee thought to be possibly extinct spotted in Florida https://t.co/0DmsGFcqHy https://t.co/pxvRHoWGnT
134,-0.6369,0.215,0.785,0.0,CBSNews,2020-05-18 11:41:49+00:00,"RT @CBSThisMorning: More than 28,000 people connected to nursing homes have died from the #coronavirus, and some say staffing shortages may…"
135,0.3612,0.0,0.894,0.106,CBSNews,2020-05-18 11:41:36+00:00,RT @RamyInocencio: NEW: China pulls 180° U-turn. 🇨🇳 Beijing now *supports* @WHO probe into the origin of #coronavirus after 100+ member nat…
136,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 11:29:58+00:00,The government whistleblower who says the Trump administration's coronavirus response has cost lives… https://t.co/lmdLrFJdIo
137,0.3182,0.0,0.85,0.15,CBSNews,2020-05-18 11:14:32+00:00,China eases resistance as calls mount for global probe into coronavirus origin https://t.co/fqnqXagg4P https://t.co/ZS7tobBxCr
138,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 10:48:01+00:00,"In ""The Chiffon Trenches,"" André Leon Talley details his journey from the segregated South to becoming one of the m… https://t.co/MVoUKcjs8T"
139,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 10:47:01+00:00,"AHEAD: The #newnormal of shopping. Retailers are reopening, but it isn't business as usual.

Coming up,… https://t.co/0PJVhT2nUQ"
140,0.3182,0.0,0.796,0.204,CBSNews,2020-05-18 10:44:57+00:00,Texas reports largest single-day increase in coronavirus cases https://t.co/7172OE1Mtz https://t.co/nE2a0nms6K
141,0.0,0.0,1.0,0.0,CBSNews,2020-05-18 10:34:49+00:00,Tropical Storm Arthur inching closer to North Carolina coast https://t.co/obICKrRlLQ https://t.co/3yhWH8tp2I
